Rank,Player,Position,2010 Team,2011 Team,Reference,Year,2012 Team,Rank Change,2013 Team,2014 Team,2015 Team,2015 team,2016 team,Rank change,2017 team,Year accomplishments,2018 team,2019 team,2020 team
88,Jaylon Smith,Linebacker,,,[88],2019.0,,,,,,,,27,,"- 2nd consecutive season with 121+tackles, 2+ sacks, 2 forced fumbles 
   and 1 fumble recovery",,Dallas Cowboys,
89,Cooper Kupp,Wide receiver,,,[89],2019.0,,,,,,,,NR,,"- 2nd most receiving touchdowns in the season (10)
   - Most receiving yards in a single international game (220 yards in 
   London)",,Los Angeles Rams,
90,Kyler Murray,Quarterback,,,[90],2019.0,,,,,,,,NR,,"- AP NFL Offensive Rookie of the Year
   - 2nd-most rushing yards amongst quarterbacks (544 yards)",,Arizona Cardinals,
91,Grady Jarrett,Defensive tackle,,,[91],2019.0,,,,,,,,NR,,"- 1st Pro Bowl selection
   - 1st Second-team All-Pro selection
   - 3rd consecutive season with 4+sacks, 52+ combined tackles and 8+ 
   tackles-for-losses",,Atlanta Falcons,
92,Darius Slay,Cornerback,,,[92],2019.0,,,,,,,,6,,"- Most passes defensed since 2013 (104)
   - 6th consecutive season with 13+ passes defensed and 2+ interceptions",,Detroit Lions,Philadelphia Eagles
93,Allen Robinson,Wide receiver,,,[93],2019.0,,,,,,,,NR,,"- First Chicago Bears player to reach 1,000 receiving yards since 2014.",,Chicago Bears,
94,Jason Kelce,Center,,,[94],2019.0,,,,,,,,22,,"- 3rd Pro Bowl selection
   - 3rd First-team All-Pro selection
   - Played in every offensive snap, only Eagles offensive lineman to do so",,Philadelphia Eagles,
95,Frank Clark,Defensive end,,,[95],2019.0,,,,,,,,10,,"- 1st Pro Bowl selection
   - Super Bowl champion (1st time)
   - 4th consecutive season with 8+ sacks, 2+ forced fumble and 1+ fumble 
   recovery",,Kansas City Chiefs,
96,Chris Carson,Running back,,,[96],2019.0,,,,,,,,NR,,"- 2nd consecutive season with 1,150+ rushing yards and 9 total touchdowns",,Seattle Seahawks,
97,Budda Baker,Safety,,,[97],2019.0,,,,,,,,NR,,"- Leading tackler amongst safeties (147)
   - 2nd Pro Bowl selection",,Arizona Cardinals,
98,Brandon Brooks,Guard,,,[98],2019.0,,,,,,,,NR,,- 3rd consecutive Pro Bowl selection,,Philadelphia Eagles,
99,Darren Waller,Tight end,,,[99],2019.0,,,,,,,,NR,,"- 2nd most receiving yards amongst tight ends (1,145)
   - 2nd most receptions amongst tight ends (90)",,Oakland / Las Vegas Raiders,
100,Lavonte David,Linebacker,,,[100],2019.0,,,,,,,,NR,,- 2nd consecutive season of 120+ tackles,,Tampa Bay Buccaneers,
